shareCode,value(100 million)
003033,39.24
003035,229.92
003036,28.34
003037,63.58
003038,87.36
003039,107.94
003040,90.47
003041,20.04
003042,48.64
003043,57.06
003816,1363.46
300001,165.26
300002,89.23
300003,445.62
300004,27.84
300005,72.38
300006,45.3
300007,61.99
300008,73.61
300009,171.55
300010,31.17
300011,32.29
300012,352.91
300013,21.04
300014,1745.18
300015,1930.49
300016,35.86
300017,136.82
300018,32.74
300019,71.49
300020,45.64
300021,41.56
300022,19.35
300024,156.42
300025,25.59
300026,207.29
300027,63.54
300029,17.7
300030,23.81
300031,70.12
300032,44.09
300033,518.25
300034,245.12
300035,152.55
300036,92.23
300037,302.77
300039,67.47
300040,38.37
300041,76.09
300042,24.57
300043,42.43
300044,27.65
300045,49.5
300046,38.56
300047,41.58
300048,58.52
300049,56.98
300050,21.17
300051,24.79
300052,54.66
300053,54.28
300054,199.92
300055,75.89
300056,32.77
300057,75.19
300058,140.49
300059,2414.23
300061,49.56
300062,36.63
300063,29
300065,96.73
300066,56.68
300067,34.13
300068,165.02
300069,16.1
300070,185.92
300071,42.52
300072,101.27
300073,316.01
300074,20.23
300075,99.2
300076,22.34
300077,88.34
300078,41.23
300079,76.31
300080,115.66
300081,47.6
300082,59.1
300083,159.87
300084,17.08
300085,70.73
300086,33.8
300087,105.97
300088,162.27
300089,16.79
300091,59.27
300092,33.07
300093,90.53
300094,49.99
300095,44.03
300096,27.74
300097,17.49
300098,60.47
300099,49.47
300100,32.45
300101,155.75
300102,62.89
300103,22.49
300105,39.97
300106,17.5
300107,31.06
300108,12.92
300109,92.08
300110,53.08
300111,34.38
300112,28.95
300113,80.19
300114,62.86
300115,152.17
300116,78.33
300117,28.74
300118,236.88
300119,97.58
300120,32.04
300121,49.14
300122,1547.36
300123,60.76
300124,1904.92
300125,73.81
300126,18.15
300127,52.8
300128,39.83
300129,76.47
300130,68.13
300131,60.61
300132,35.02
300133,90.11
300134,65.85
300135,23.87
300136,163.04
300137,34.14
300138,85.51
300139,23.67
300140,29.99
300141,21.99
300142,675.49
300143,70.77
300144,346.19
300145,49.43
300146,317.79
300147,41.53
300148,28.07
300149,60.52
300150,23.58
300151,117.44
300152,24.52
300153,23.74
300154,27.36
300155,28.62
300157,24.64
300158,63.09
300159,36.51
300160,43.52
300161,45.74
300162,26.14
300163,16.4
300164,23.24
300165,25.05
300166,103.6
300167,20.34
300168,107.6
300169,15.26
300170,76.79
300171,175.31
300172,32.82
300173,32.7
300174,61.79
300175,17.66
300176,24.44
300177,52.32
300179,65.84
300180,71.15
300181,68.9
300182,126.69
300183,62.82
300184,53.34
300185,102.49
300187,39.51
300188,107.63
300189,42.09
300190,35.41
300191,61.38
300192,20.57
300193,38.15
300194,46.04
300195,22.82
300196,62.33
300197,64.93
300198,31.98
300199,129.93
300200,32.59
300201,27.17
300203,155.98
300204,75.88
300205,53.71
300206,77.54
300207,481.06
300208,84.54
300209,28.83
300210,15.74
300211,23.61
300212,112.26
300213,31.94
300214,31.87
300215,44.74
300217,97.15
300218,24.37
300219,55.15
300220,18.17
300221,24.87
300222,56.02
300223,358.05
300224,111.3
300225,28.62
300226,53.49
300227,35.88
300228,32.34
300229,92.21
300230,32
300231,34.17
300232,67.83
300233,102.78
300234,28.84
300235,18.04
300236,98.4
300237,34.03
300238,30.97
300239,49.8
300240,27.75
300241,34.91
300242,20.88
300243,20.42
300244,178.75
300245,26.21
300246,28.71
300247,29.11
300248,49.79
300249,43.09
300250,27.06
300251,227.35
300252,45.42
300253,206.4
300254,18.51
300255,56.29
300256,70.55
300257,172.89
300258,62.97
300259,41.53
300260,212.9
300261,124.36
300262,20.03
300263,66.47
300264,30.16
300265,31.97
300266,48.99
300267,70.33
300268,32.87
300269,25.64
300270,17.44
300271,58.79
300272,33.53
300273,19.81
300274,1773.76
300275,23.31
300276,52.4
300277,24.22
300278,63.4
300279,25.01
300280,28.62
300281,22.16
300282,21.15
300283,23.78
300284,76.15
300285,283.78
300286,55.5
300287,58.13
300288,34.33
300289,34.76
300290,32.73
300291,41.44
300292,43.88
300293,26.69
300294,156.52
300295,17.67
300296,154.61
300297,23.37
300298,210.91
300299,38.85
300300,27.8
300301,15.72
300302,38.57
300303,58.66
300304,40.96
300305,35.83
300306,27.89
300307,39.5
300308,235.56
300309,13.47
300310,33.77
300311,45.27
300313,19.72
300314,43.32
300315,85.21
300316,942.22
300317,44.35
300318,54
300319,75.36
300320,74.55
300321,14.51
300322,39.5
300323,95.99
300324,55.97
300326,57.29
300327,116.19
300328,49.23
300329,17.04
300330,9.54
300331,49.28
300332,116.06
300333,21.47
300334,20.99
300335,23.77
300336,14.75
300337,74.14
300338,15.25
300339,163.82
300340,26.35
300341,52.26
300342,37.66
300343,135.59
300344,32.21
300345,40.1
300346,183.46
300347,851.65
300348,96.48
300349,42.65
300350,29.04
300351,55.01
300352,68
300353,51.18
300354,52.12
300355,54.22
300356,19.54
300357,272
300358,96.78
300359,33.19
300360,86
300363,257.76
300364,75.86
300365,62.86
300366,63.86
300368,34.58
300369,89.76
300370,25.17
300371,21.56
300373,289.15
300374,28.8
300375,26.19
300376,174.3
300377,68.32
300378,46.63
300379,115.96
300380,22.22
300381,41.95
300382,151.62
300383,159.63
300384,53.11
300385,20.79
300386,45.02
300387,21.07
300388,44.66
300389,35.24
300390,393.62
300391,40.29
300392,15.94
300393,183.6
300394,109.74
300395,301.11
300396,65.53
300397,55.49
300398,98.7
300399,20.87
300400,41.49
300401,87.5
300402,40.82
300403,42.87
300404,35.18
300405,16.43
300406,106.29
300407,24.35
300408,582.62
300409,94
300410,43.05
300411,28.46
300412,34.05
300413,476.1
300414,26.51
300415,105.04
300416,121.79
300417,14.69
300418,166.33
300419,21.62
300420,31.04
300421,35.73
300422,30.04
300423,48.91
300424,31.31
300425,30.2
300426,25.28
300427,66.38
300428,186.94
300429,42.72
300430,38.73
300432,191.23
300433,510.28
300434,37.32
300435,54.35
300436,77.88
300437,53.03
300438,308.88
300439,50.1
300440,34.51
300441,41.47
300442,380.43
300443,110.59
300444,35.03
300445,28.21
300446,20.95
300447,55.53
300448,35.58
300449,16.55
300450,768.72
300451,133.86
300452,38.88
300453,37
300454,499.2
300455,60.36
300456,115.13
300457,134.45
300458,134
300459,117.78
300460,29.02
300461,18.44
300462,17.79
300463,119.8
300464,22.15
300465,38.38
300466,27.95
300467,22.9
300468,61.71
300469,29.72
300470,88.7
300471,52.23
300472,38.89
300473,25.64
300474,283.48
300475,79.8
300476,122.9
300477,60.14
300478,13.39
300479,37.77
300480,55.68
300481,82.26
300482,163.36
300483,37.3
300484,24.29
300485,61.41
300486,36.42
300487,272.43
300488,40.01
300489,21.88
300490,40.26
300491,26.95
300492,50.35
300493,33.72
300494,43.38
300495,25.15
300496,542.15
300497,79.15
300498,1173.74
300499,32.53
300500,26.72
300501,29.71
300502,135.39
300503,30.79
300504,46.63
300505,51.75
300506,50.29
300507,50.34
300508,25.78
300509,17.72
300510,39.28
300511,31.99
300512,30.7
300513,34.04
300514,23.64
300515,24.41
300516,48.8
300517,29.02
300518,83.4
300519,28.3
300520,44.64
300521,16.52
300522,29.2
300523,55.81
300525,126.05
300526,26.86
300527,68.2
300528,24.15
300529,267.2
300530,43.05
300531,46.09
300532,59.04
300533,39
